ABM7-33.000MHZ-D-4-T	from hqew, 正润电子	ABRACON	11+	11000	SMD-DIP
ABS10-32.768KHZ-T	from hqew, 正润电子	ABRACON	11+	10000	SMD-DIP
AD202JN	from hqew, 正润电子	AD	11+	20	DIP
AD603AQ	from hqew, 正润电子	AD	11+	200	CDIP
AD637JRZ	from hqew, 正润电子	AD	0827+	70	SOP
AD7801BR	from hqew, 正润电子	AD	0203+	3	SMD
AD795JR	from hqew, 正润电子	AD	08+	10	SOP
ADF4118BRU	from hqew, 正润电子	AD	0910+	1000	TSSOP16
ADG211AKR	from hqew, 正润电子	AD	10+	612	SOP
ADG508AKRZ	from hqew, 正润电子	AD	1208+	17	SOP16
ADS807E	from hqew, 正润电子	AD	10+	1210	SOP28
ADV476KP35	from hqew, 正润电子	AD	10+	1229	PLCC
AK5351VF	from hqew, 正润电子	AKM	10+	1220	SOP
ASE-25.000MHZ-LC-T	from hqew, 正润电子	ABRACON	12+	10000	SMD-DIP
ASFL3-12.000MHZ-EK-T	from hqew, 正润电子	ABRACON	09+	500	SMD-DIP
ASFLM4-125.000MHZ-LC-T	from hqew, 正润电子	ABRACON	11+	22000	SMD-DIP
ASSVP-21.000MHZ-C08-T	from hqew, 正润电子	ABRACON	12+	1000	SMD-DIP
AT89C55-24JC	from hqew, 正润电子	AT	10+	1209	PLCC
ATT7022BU	from hqew, 正润电子	ACTIONS	0923+	2	QFP
B0505LS-1W	from hqew, 正润电子	MORNSUN	11+	2364	SIP14
BCM5325MA2IQM	from hqew, 正润电子	BORADCOM	06+	164	QFP
BR24L02F-WE2	from hqew, 正润电子	ROHM	0421+	2000	SOP8
BTS4880R	from hqew, 正润电子	INFINEON	10+	608	SOP
BTS721L1	from hqew, 正润电子	INFINEON	1021+	1253	SOP20
CD54-47UH	from hqew, 正润电子	HZ	10+	15000	
D43256BGU-70LL	from hqew, 正润电子	NEC	0922+	563	SOP
DG412DY	from hqew, 正润电子	SIL	07+	700	SMD
DS1818-10	from hqew, 正润电子	DS	11+	365	TO92
DS2118MB	from hqew, 正润电子	NS	10+	1220	SOP36
DS2432	from hqew, 正润电子	DALLAS	10+	1217	SOP
DS90C031BTM	from hqew, 正润电子	DALLAS	10+	614	SOP
DS90CR216MTD	from hqew, 正润电子	DALLAS	10+	210	SOP
EL2244CN	from hqew, 正润电子	EL	10+	1217	DIP
EL7212CN	from hqew, 正润电子	EL	10+	1219	DIP
EPC1441PC8	from hqew, 正润电子	ALTERA	10+	1218	DIP
EPM1270T144C5N	from hqew, 正润电子	ALTERA	11+	500	QFN
EPM7096QC100-15	from hqew, 正润电子	ALTERA	1003+	50	QFP100
FOD817C	from hqew, 正润电子	FAIRCHILD	11+	1000	DIP
FQPF13N50C	from hqew, 正润电子	FAIRCHILD	11+	47000	FSC
FT232RL	from hqew, 正润电子	FTDI	1049+	2365	SSOP-28
FX604P3	from hqew, 正润电子	CML	10+	1231	DIP
HIP6016CB	from hqew, 正润电子	TNTERSIL	10+	1215	SOP
HIP6021CB	from hqew, 正润电子	INTERSIL	10+	615	SOP
HMC1501-TR	from hqew, 正润电子	HONEYWELL	11+	1000	SOP
HV5222PG	from hqew, 正润电子	SUPERTEX	0828+	200	QFP
HY5DU561622ETP-D43	from hqew, 正润电子	HYNIX	10+	1214	TSSOP
ICL7667CPA	from hqew, 正润电子	INTERSIL	10+	1218	DIP
IH5043CWE	from hqew, 正润电子	MAX	10+	1206	SOP16
IP175	from hqew, 正润电子	IC	10+	1536	QFP
IRF630MFP	from hqew, 正润电子	ST	11+	4000	TO220F
IS61WV102416BLL-10TLI	from hqew, 正润电子	ISSI	1208+	658	TSOP48
JM20339	from hqew, 正润电子	JMICRON	10+	28800	QFP
LB1831	from hqew, 正润电子	SANYO	10+	1226	SOP
LCMX0640C-3TN100C	from hqew, 正润电子	LATTICE	11+	150	QFP
LCMXO640C-3TN100C	from hqew, 正润电子	LATTICE	11+	569	QFP
LCMXO640C-3TN144C	from hqew, 正润电子	LATTICE	11+	895	QFP144
LF353D	from hqew, 正润电子	TI	13+	500	SOP8
LFXP3C-3QN208C	from hqew, 正润电子	LATTICE	1239+	104	QFP208
LM2576S-5.0	from hqew, 正润电子	ARTSCHIP	1135+	893	TO-263
LMH6551MA	from hqew, 正润电子	NS	10+	720	SOP8
LPC2103FBD	from hqew, 正润电子	NXP	11+	6000	QFP-48
LPC2478FBD208	from hqew, 正润电子	NXP	11+	150	QFP208
LT1117CST	from hqew, 正润电子	LT	10+	1205	SOT223
LT1141ACSW	from hqew, 正润电子	LT	10+	630	SOP24
LT1364CN8	from hqew, 正润电子	LT	10+	1208	DIP
LTC1255CN8	from hqew, 正润电子	LT	10+	606	DIP
LTC1266ACS	from hqew, 正润电子	LT	10+	632	SOP16
LTC1590CS	from hqew, 正润电子	LT	10+	615	SOP16
LTC902CWN	from hqew, 正润电子	LT	10+	619	SOP18
LV001TM	from hqew, 正润电子	NS	10+	1208	SOP
MC14490	from hqew, 正润电子	MOTOROLA	10+	1226	SOP
MC3358P1	from hqew, 正润电子	MOTOROLA	10+	1208	DIP
MC34152P	from hqew, 正润电子	ON SEMI	10+	216	DIP
MC68681FN	from hqew, 正润电子	MOTOROLA	10+	1209	PLCC
MC68HC68T1P	from hqew, 正润电子	MOTOROLA	10+	1213	DIP
MC9S08FL16CLC	from hqew, 正润电子	FREESCALE	1022+	2563	LQFP-32
ML6652CH	from hqew, 正润电子	MICROLINE	0525+	1200	QFP
ML6692CH	from hqew, 正润电子	ML	0528+	83	TQFP64
MT28F400B5SG-8T	from hqew, 正润电子	MICRON	10+	1205	SOP
MT28F800B5-8B	from hqew, 正润电子	MICRON	10+	514	TSSOP
MT90820AP	from hqew, 正润电子	MITEI	10+	1210	PLCC
MX7225KCWP	from hqew, 正润电子	MAX	10+	1209	SOP24
MX7543JCWE	from hqew, 正润电子	MAX	10+	1207	SOP16
MX7828LCAI	from hqew, 正润电子	MAX	10+	1213	SSOP28
MX8325	from hqew, 正润电子	MAX	10+	1206	SOP
M41T81	from hqew, 正润电子	ST	10+	528	SOP
M64026FP	from hqew, 正润电子	MITSUMI	10+	608	SOP
MACH210-20JC	from hqew, 正润电子	AMD	10+	1210	PLCC
MAS7838N	from hqew, 正润电子	MAS	10+	210	DIP
MAX1044ESA	from hqew, 正润电子	MAX	10+	862	SOP8
MAX1270ACAI	from hqew, 正润电子	MAX	10+	1205	SSOP
MAX1601EAI	from hqew, 正润电子	MAX	10+	1210	SOP28
MAX1617MEE	from hqew, 正润电子	MAX	10+	1232	SOP16
MAX1631CAI	from hqew, 正润电子	MAX	11+	945	SOP
MAX1639ESE	from hqew, 正润电子	MAX	10+	758	SOP16
MAX1668MEE	from hqew, 正润电子	MAX	10+	1208	SOP16
MAX178ACWG	from hqew, 正润电子	MAX	10+	1215	SOP24
MAX1847EEE	from hqew, 正润电子	MAX	10+	1212	SSOP16
MAX187BEPA	from hqew, 正润电子	MAX	10+	863	DIP8
MAX189CCWE	from hqew, 正润电子	MAX	10+	1217	SOP
MAX196BCWI	from hqew, 正润电子	MAX	10+	256	SOP28
MAX223CWI	from hqew, 正润电子	MAX	10+	1208	SOP28
MAX231CPD	from hqew, 正润电子	MAX	10+	1205	DIP
MAX235CPG	from hqew, 正润电子	MAX	10+	7	DIP24
MAX307EWI	from hqew, 正润电子	MAX	10+	1216	SOP28
MAX3082ESA	from hqew, 正润电子	MAXIM	10+	441	SOP
MAX318CSA	from hqew, 正润电子	MAXIM	10+	1375	SOP
MAX3224CAP	from hqew, 正润电子	MAXIM	10+	625	SOP
MAX333CPE	from hqew, 正润电子	MAX	10+	1207	DIP24
MAX338ESE	from hqew, 正润电子	MAX	10+	1205	SOP16
MAX3488ESA	from hqew, 正润电子	MAX	10+	1211	SOP8
MAX359CWE	from hqew, 正润电子	MAX	10+	1215	SOP16
